除此以外,,503.0,0.09790802,0.04839007,0.036122303,0.8175796
要是,不,503.0,0.024338057,0.69269073,0.08469953,0.19827183
由于,而,503.0,0.020220783,0.79007816,0.021626582,0.16807456
可见,,503.0,0.09568898,0.042203717,0.023559025,0.83854884
除非,不然,503.0,0.010367244,0.037050005,0.89326066,0.059322033
只不过,,503.0,0.035443407,0.047610633,0.6919875,0.22495869
不但,反而,503.0,0.06035419,0.08300774,0.07347609,0.783162
,叙事,503.0,0.057776816,0.050785,0.022606306,0.8688325
,假如,503.0,0.033080846,0.052090906,0.053257205,0.8615709
,幸好,503.0,0.047748797,0.117005445,0.07797563,0.75727034
更有甚者,,503.0,0.15260166,0.042055927,0.022105288,0.7832371
,幸亏,503.0,0.04933065,0.09910278,0.034624353,0.81694204
幸而,,503.0,0.06152308,0.29483554,0.046425797,0.5972158
,接着,502.0,0.1962836,0.04564077,0.028070252,0.73000515
,最后,502.0,0.10636701,0.040119715,0.034039225,0.8194746
既,又,502.0,0.03461937,0.06597511,0.049058367,0.85034686
其次,,502.0,0.08573669,0.05428471,0.02381962,0.8361593
虽然,,502.0,0.034578264,0.052836575,0.7638765,0.14870879
只有,就,502.0,0.03678378,0.13197541,0.18787155,0.6433692
随即,,502.0,0.1571808,0.057300813,0.019113615,0.76640487
最早,,502.0,0.061453734,0.031619135,0.023280976,0.8836469
,交代,502.0,0.11223345,0.07916061,0.03085007,0.7777562
,例如,502.0,0.048047684,0.06605074,0.043701734,0.84219974
而今,,502.0,0.38812348,0.061796624,0.023624612,0.5264553
,总之,502.0,0.05847817,0.07885056,0.09125456,0.77141666
,外传,502.0,0.107889295,0.05414523,0.026019389,0.81194586
既然,,502.0,0.021265896,0.7805211,0.036059797,0.1621533
话说,,502.0,0.18086255,0.08776857,0.0506452,0.6807235
如果,则,502.0,0.029619584,0.5728952,0.10277132,0.29471394
因,所以,502.0,0.02257277,0.83198917,0.018206289,0.12723142
,稍后,502.0,0.16390423,0.04651118,0.022528695,0.7670554
,同时,502.0,0.12507707,0.062310614,0.033853345,0.7787588
且,,502.0,0.07143107,0.084341876,0.0313726,0.81285423
注明,,502.0,0.07761686,0.08159544,0.026037317,0.81475
如,则,502.0,0.03962746,0.39131254,0.0545729,0.51448715
要是,也,502.0,0.026303185,0.7235147,0.062340308,0.18784177
尽管,,502.0,0.0421387,0.07355201,0.6498082,0.23450126
